status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,gender,n_guarantors,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,martial Status,telephone,is_foreign_worker,secondary_obligor,actual,predicted,prob_bad,correct
no checking account,36,existing credits paid back duly till now,car (used),4686,< 100 DM,1 to < 4 years,2,male,1,2,savings agreement/life insurance,32,none,for free,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,6.663589652075588,YES
no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,>= 7 years,4,male,1,4,real estate,54,none,own,2,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,7.330578187223617,YES
no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,< 100 DM,4 to < 7 years,2,male,1,2,car,31,bank,own,2,skilled employee/ official,single,none,yes,none,bad,bad,64.36105712543548,YES
0 to < 200 DM,10,existing credits paid back duly till now,car (new),7308,< 100 DM,unemployed,2,male,1,4,savings agreement/life insurance,70,bank,for free,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,16.83597222663412,YES
< 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,< 100 DM,>= 7 years,3,male,2,4,savings agreement/life insurance,23,bank,rent,2,skilled employee/ official,single,none,yes,none,bad,bad,72.47161882777792,YES
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,< 100 DM,unemployed,4,male,1,2,real estate,28,none,own,2,management/ self-employed/highly qualified employee,married/widowed,none,yes,none,bad,bad,65.50857276861302,YES
no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 to < 1000 DM,1 to < 4 years,1,male,1,4,none,62,none,own,1,skilled employee/ official,divorced/separated,none,yes,none,good,good,7.044505558332978,YES
0 to < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,< 100 DM,1 to < 4 years,1,male,1,4,none,36,none,own,3,unskilled - resident,single,"yes, registered under the customers name",yes,none,bad,bad,65.49489460043154,YES
no checking account,24,existing credits paid back duly till now,radio/television,1311,100 to < 500 DM,4 to < 7 years,4,male,1,3,car,26,none,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,13.398592997580275,YES
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,< 100 DM,>= 7 years,2,male,1,4,none,63,none,own,2,unskilled - resident,single,"yes, registered under the customers name",yes,none,good,good,5.169532342863519,YES
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,< 100 DM,>= 7 years,2,male,1,4,car,42,stores,own,1,skilled employee/ official,single,none,yes,none,good,good,17.279231155258753,YES
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1484,unknown/ no savings account,1 to < 4 years,2,male,1,1,none,25,none,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,bad,bad,45.731047028911235,YES
< 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 to < 500 DM,unemployed,4,female,1,3,car,22,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,65.50082264822187,YES
no checking account,15,critical account/ other credits existing (not at this bank),car (new),5045,unknown/ no savings account,>= 7 years,1,female,1,4,real estate,59,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,6.2915619311935425,YES
no checking account,36,existing credits paid back duly till now,education,1819,< 100 DM,1 to < 4 years,4,male,1,4,savings agreement/life insurance,37,stores,for free,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,65.50552591464354,YES
>= 200 DM,36,existing credits paid back duly till now,radio/television,3913,< 100 DM,1 to < 4 years,2,male,1,2,none,23,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,29.531427579412455,YES
0 to < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,< 1 year,4,male,1,1,car,23,none,own,1,skilled employee/ official,single,none,yes,none,good,good,14.075950998938078,YES
< 0 DM,12,delay in paying off in the past,car (new),1344,< 100 DM,1 to < 4 years,4,male,2,2,none,43,none,own,2,unskilled - resident,single,none,yes,none,good,bad,36.59678736157105,NO
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3939,< 100 DM,1 to < 4 years,1,male,2,2,none,40,none,own,2,unskilled - resident,single,none,yes,none,good,good,8.7129283319637,YES
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 to < 4 years,2,male,2,2,car,39,none,own,1,unskilled - resident,single,none,yes,none,good,good,15.167350846767496,YES
>= 200 DM,6,critical account/ other credits existing (not at this bank),education,1047,< 100 DM,1 to < 4 years,2,female,1,4,car,50,none,own,1,unskilled - resident,divorced/separated/married,none,yes,none,good,good,14.073988491633823,YES
no checking account,36,existing credits paid back duly till now,car (used),8133,< 100 DM,1 to < 4 years,1,female,1,2,car,30,bank,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,bad,42.24973897342773,NO
no checking account,12,existing credits paid back duly till now,car (new),1101,< 100 DM,1 to < 4 years,3,male,1,2,none,27,none,own,2,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,24.22640987965932,YES
0 to < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 to < 4 years,1,male,1,1,none,27,none,own,1,unskilled - resident,single,none,yes,none,good,good,13.882338117857923,YES
no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,< 100 DM,unemployed,1,female,1,2,car,38,none,own,1,unemployed/ unskilled - non-resident,divorced/separated/married,none,yes,none,good,good,21.86557335059622,YES
0 to < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 to < 500 DM,4 to < 7 years,2,male,1,3,savings agreement/life insurance,29,none,own,1,skilled employee/ official,single,none,yes,none,bad,bad,65.50433867121748,YES
0 to < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,< 100 DM,1 to < 4 years,4,female,1,1,car,30,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,37.3383996611165,YES
no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,< 100 DM,4 to < 7 years,4,male,1,4,real estate,37,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,11.336167192702225,YES
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,>= 7 years,2,male,1,4,savings agreement/life insurance,42,none,for free,2,skilled employee/ official,single,none,yes,none,good,good,23.51139776635904,YES
< 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,< 100 DM,1 to < 4 years,2,male,2,2,none,36,none,rent,2,skilled employee/ official,single,none,yes,none,good,good,14.077305362170636,YES
no checking account,12,existing credits paid back duly till now,radio/television,1493,< 100 DM,< 1 year,4,female,2,3,real estate,34,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,20.30505151906368,YES
< 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1 to < 4 years,4,female,1,2,real estate,24,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,65.49138234725459,YES
>= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1480,500 to < 1000 DM,unemployed,2,male,1,4,savings agreement/life insurance,66,bank,for free,3,unemployed/ unskilled - non-resident,single,none,yes,none,good,good,14.070736101375065,YES
>= 200 DM,15,existing credits paid back duly till now,education,392,< 100 DM,< 1 year,4,female,1,4,car,23,none,rent,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,34.96632065949499,YES
0 to < 200 DM,8,existing credits paid back duly till now,radio/television,760,< 100 DM,4 to < 7 years,4,female,1,2,none,44,none,own,1,unskilled - resident,divorced/separated/married,none,yes,guarantor,good,good,10.099722735301897,YES
< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,< 100 DM,4 to < 7 years,4,male,1,3,car,49,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,co-applicant,good,good,19.793096319512653,YES
< 0 DM,48,all credits at this bank paid back duly,business,7685,< 100 DM,4 to < 7 years,2,female,1,4,real estate,37,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,guarantor,bad,bad,65.49369479785588,YES
0 to < 200 DM,18,existing credits paid back duly till now,car (used),2779,< 100 DM,1 to < 4 years,1,male,1,3,real estate,21,none,rent,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,bad,36.20003721810623,NO
< 0 DM,12,existing credits paid back duly till now,education,684,< 100 DM,1 to < 4 years,4,male,2,4,real estate,40,none,rent,1,unskilled - resident,single,none,yes,none,bad,bad,79.87303445131737,YES
< 0 DM,18,existing credits paid back duly till now,radio/television,3190,< 100 DM,1 to < 4 years,2,female,1,2,none,24,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,38.71068348232819,YES
no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 to < 4 years,4,male,2,4,none,32,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,12.125422552313083,YES
< 0 DM,47,existing credits paid back duly till now,car (new),10722,< 100 DM,< 1 year,1,female,1,1,none,35,none,own,1,unskilled - resident,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,31.16652157459751,YES
< 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 to < 500 DM,1 to < 4 years,4,female,1,2,real estate,32,none,own,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,65.50350547313072,YES
no checking account,12,existing credits paid back duly till now,radio/television,1262,< 100 DM,1 to < 4 years,3,male,1,2,real estate,25,none,own,1,skilled employee/ official,single,none,yes,none,good,good,15.739692066972278,YES
< 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,< 1 year,2,female,1,3,none,27,none,rent,2,skilled employee/ official,divorced/separated/married,none,no,co-applicant,good,good,14.071298866910197,YES
no checking account,24,existing credits paid back duly till now,car (new),3757,< 100 DM,>= 7 years,4,female,1,4,savings agreement/life insurance,62,none,for free,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,co-applicant,good,good,10.294463628940372,YES
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,< 100 DM,1 to < 4 years,4,male,1,2,real estate,24,none,own,2,skilled employee/ official,single,none,yes,none,good,good,14.067140843728351,YES
< 0 DM,27,no credits taken/ all credits paid back duly,business,5293,< 100 DM,unemployed,2,male,1,4,car,50,stores,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,65.49518846593132,YES
< 0 DM,24,all credits at this bank paid back duly,car (used),3632,< 100 DM,1 to < 4 years,1,female,1,4,real estate,22,bank,rent,1,skilled employee/ official,divorced/separated/married,none,no,guarantor,good,good,29.798485434738726,YES
0 to < 200 DM,45,critical account/ other credits existing (not at this bank),car (used),4576,100 to < 500 DM,unemployed,3,male,1,4,real estate,27,none,own,1,skilled employee/ official,single,none,yes,none,good,good,14.068332488426005,YES
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,< 100 DM,< 1 year,2,male,1,4,car,31,none,own,1,unskilled - resident,divorced/separated,none,yes,none,bad,bad,65.49144914591834,YES
no checking account,12,critical account/ other credits existing (not at this bank),business,1412,< 100 DM,1 to < 4 years,4,female,1,2,none,29,none,own,2,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,guarantor,good,good,14.071981684614743,YES
< 0 DM,48,existing credits paid back duly till now,business,4308,< 100 DM,< 1 year,3,female,1,4,car,24,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,83.25502234235644,YES
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,< 100 DM,1 to < 4 years,4,male,1,2,car,37,none,own,1,unskilled - resident,single,none,yes,none,bad,bad,44.9831966921294,YES
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 to < 4 years,4,male,1,4,none,28,bank,own,2,skilled employee/ official,married/widowed,none,yes,none,good,good,18.681613278761606,YES
0 to < 200 DM,21,existing credits paid back duly till now,business,2767,100 to < 500 DM,>= 7 years,4,male,1,2,real estate,61,bank,rent,2,unskilled - resident,divorced/separated,none,yes,none,bad,bad,38.831376717552416,YES
no checking account,21,delay in paying off in the past,car (used),2993,< 100 DM,1 to < 4 years,3,male,1,2,none,28,stores,own,2,unskilled - resident,single,none,yes,none,good,good,14.072000775134407,YES
0 to < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 to < 500 DM,unemployed,1,male,2,2,car,34,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.4954020675154,YES
0 to < 200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,500 to < 1000 DM,< 1 year,1,female,1,1,real estate,30,none,own,2,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,21.37208462756049,YES
0 to < 200 DM,12,existing credits paid back duly till now,business,841,100 to < 500 DM,4 to < 7 years,2,female,1,4,none,23,none,rent,1,unskilled - resident,divorced/separated/married,none,yes,none,good,good,14.066713128879579,YES
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,< 100 DM,>= 7 years,1,male,1,4,real estate,28,none,rent,3,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.073038229467185,YES
< 0 DM,8,critical account/ other credits existing (not at this bank),others,1164,< 100 DM,>= 7 years,3,male,2,4,savings agreement/life insurance,51,bank,for free,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,bad,39.369408165233644,NO
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 to < 500 DM,< 1 year,4,female,1,4,real estate,27,bank,rent,4,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,65.50620247177908,YES
< 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,< 100 DM,>= 7 years,3,male,2,4,savings agreement/life insurance,24,none,for free,2,skilled employee/ official,single,none,yes,none,bad,bad,65.49705854299879,YES
< 0 DM,12,existing credits paid back duly till now,car (new),1228,< 100 DM,1 to < 4 years,4,female,1,2,none,24,none,own,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,74.48914177530811,YES
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,< 100 DM,< 1 year,2,female,1,4,real estate,25,bank,own,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,65.49183199201148,YES
0 to < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,500 to < 1000 DM,1 to < 4 years,4,male,1,2,car,23,none,own,2,unskilled - resident,single,none,yes,none,bad,bad,65.49496498098941,YES
no checking account,24,existing credits paid back duly till now,radio/television,3235,500 to < 1000 DM,>= 7 years,3,male,1,2,real estate,26,none,own,1,management/ self-employed/highly qualified employee,divorced/separated,"yes, registered under the customers name",yes,none,good,good,13.955420884057254,YES
< 0 DM,12,existing credits paid back duly till now,radio/television,701,< 100 DM,1 to < 4 years,4,male,1,2,none,40,none,own,1,unskilled - resident,married/widowed,none,yes,none,good,good,33.19704512723275,YES
< 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,1872,< 100 DM,unemployed,4,male,1,4,savings agreement/life insurance,36,none,for free,3,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,12.614271968362956,YES
no checking account,14,delay in paying off in the past,car (new),802,< 100 DM,1 to < 4 years,4,male,1,2,real estate,27,none,own,2,unskilled - resident,single,none,yes,none,good,good,22.46128427563685,YES
0 to < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,< 1 year,4,female,1,3,none,27,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,65.49018957980496,YES
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,< 100 DM,>= 7 years,3,male,2,4,none,32,none,own,2,unskilled - resident,single,none,no,none,good,good,8.717102174205108,YES
0 to < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,< 100 DM,1 to < 4 years,2,male,1,2,real estate,25,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,53.02597476194627,YES
0 to < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,< 100 DM,1 to < 4 years,1,female,1,2,car,32,bank,own,1,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",no,none,bad,bad,65.50295270859752,YES
< 0 DM,21,delay in paying off in the past,education,3414,< 100 DM,< 1 year,2,male,1,1,car,26,none,own,2,skilled employee/ official,single,none,yes,none,bad,bad,46.91003714476772,YES
< 0 DM,6,existing credits paid back duly till now,car (used),1352,500 to < 1000 DM,unemployed,1,female,1,2,car,23,none,rent,1,unemployed/ unskilled - non-resident,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.068087814315291,YES
0 to < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 to < 500 DM,1 to < 4 years,2,female,1,4,real estate,28,none,rent,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,65.49733982183562,YES
no checking account,24,existing credits paid back duly till now,car (new),1249,< 100 DM,< 1 year,4,male,1,2,none,28,none,own,1,skilled employee/ official,married/widowed,none,yes,none,good,good,22.258373161548565,YES
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,>= 1000 DM,>= 7 years,2,female,1,4,savings agreement/life insurance,29,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,14.068520461649697,YES
0 to < 200 DM,18,existing credits paid back duly till now,business,1941,>= 1000 DM,1 to < 4 years,4,male,1,2,car,35,none,own,1,unskilled - resident,single,"yes, registered under the customers name",yes,none,good,good,14.097068293667187,YES
0 to < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,< 100 DM,4 to < 7 years,4,male,1,3,real estate,35,none,rent,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.065444748269343,YES
no checking account,24,critical account/ other credits existing (not at this bank),repairs,2058,< 100 DM,1 to < 4 years,4,male,1,2,none,33,none,own,2,skilled employee/ official,divorced/separated,"yes, registered under the customers name",yes,none,good,good,14.094511019762201,YES
no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,< 100 DM,1 to < 4 years,4,female,1,2,none,25,stores,own,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,65.50836220109343,YES
< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,>= 7 years,4,male,1,4,none,67,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,7.622857482129206,YES
no checking account,15,delay in paying off in the past,car (used),3594,< 100 DM,< 1 year,1,female,1,2,car,46,none,own,2,unskilled - resident,divorced/separated/married,none,yes,none,good,good,7.325466264718651,YES
0 to < 200 DM,18,existing credits paid back duly till now,business,1913,>= 1000 DM,< 1 year,3,male,1,3,none,36,bank,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,20.341310545190723,YES
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,< 100 DM,4 to < 7 years,2,female,1,3,real estate,24,bank,own,2,skilled employee/ official,divorced/separated/married,none,yes,co-applicant,good,good,18.047435912311656,YES
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,< 100 DM,< 1 year,4,male,1,1,car,24,none,own,1,unskilled - resident,single,none,no,co-applicant,good,good,14.07568747374775,YES
0 to < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,< 100 DM,1 to < 4 years,1,female,1,4,real estate,33,bank,own,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,26.677058804265325,YES
no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/ no savings account,1 to < 4 years,1,male,1,3,real estate,26,none,own,1,skilled employee/ official,single,none,yes,none,good,good,5.073692247607459,YES
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 to < 4 years,2,male,1,1,real estate,26,none,own,2,skilled employee/ official,married/widowed,none,no,none,good,good,5.81862148090356,YES
no checking account,10,existing credits paid back duly till now,car (new),1418,100 to < 500 DM,1 to < 4 years,3,male,1,2,none,35,none,rent,1,unskilled - resident,single,none,no,none,good,good,9.849089165820086,YES
0 to < 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 to < 1000 DM,1 to < 4 years,2,male,1,4,real estate,27,bank,own,1,skilled employee/ official,single,none,yes,none,good,good,14.07321484932244,YES
>= 200 DM,42,critical account/ other credits existing (not at this bank),car (used),4796,< 100 DM,>= 7 years,4,male,1,4,savings agreement/life insurance,56,none,for free,1,skilled employee/ official,single,none,yes,none,good,good,21.751211822903343,YES
0 to < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,< 100 DM,4 to < 7 years,2,male,1,3,car,27,none,own,2,skilled employee/ official,single,none,yes,none,good,good,20.50827975103223,YES
0 to < 200 DM,15,existing credits paid back duly till now,radio/television,802,< 100 DM,>= 7 years,4,male,2,3,real estate,37,none,own,1,skilled employee/ official,single,none,yes,none,bad,good,24.290193916758557,NO
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,< 100 DM,4 to < 7 years,2,male,2,1,none,42,none,own,2,unskilled - resident,single,none,yes,none,good,good,5.165264771461517,YES
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 to < 500 DM,< 1 year,4,male,1,2,real estate,37,none,own,1,skilled employee/ official,divorced/separated,"yes, registered under the customers name",yes,none,good,good,17.802489556325913,YES
0 to < 200 DM,36,delay in paying off in the past,car (new),2225,< 100 DM,>= 7 years,4,male,1,4,savings agreement/life insurance,57,bank,for free,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,40.89849261979108,YES
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,>= 7 years,4,female,2,3,car,33,bank,own,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,65.49323633492041,YES
no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 to < 500 DM,1 to < 4 years,4,female,1,3,real estate,31,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,35.694124047317416,YES
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1620,< 100 DM,1 to < 4 years,2,female,1,3,car,30,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,co-applicant,good,bad,45.518618527154956,NO
no checking account,18,all credits at this bank paid back duly,car (new),6458,< 100 DM,>= 7 years,2,male,2,4,savings agreement/life insurance,39,bank,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.50004352561186,YES
< 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,< 100 DM,>= 7 years,4,male,2,3,real estate,33,none,rent,2,skilled employee/ official,single,none,yes,none,bad,bad,69.66333030458881,YES
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,3959,< 100 DM,unemployed,4,male,1,3,car,30,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,bad,52.3261446769769,NO
< 0 DM,9,critical account/ other credits existing (not at this bank),repairs,1288,100 to < 500 DM,>= 7 years,3,male,2,4,none,48,none,own,2,skilled employee/ official,single,none,no,guarantor,good,good,12.833251839021372,YES
>= 200 DM,12,all credits at this bank paid back duly,business,609,< 100 DM,< 1 year,4,female,1,1,none,26,none,own,1,unemployed/ unskilled - non-resident,divorced/separated/married,none,yes,none,bad,good,33.96998911777698,NO
0 to < 200 DM,12,existing credits paid back duly till now,business,1037,100 to < 500 DM,4 to < 7 years,3,male,1,4,none,39,none,own,1,unskilled - resident,single,none,yes,none,good,good,7.812505256736271,YES
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1743,< 100 DM,>= 7 years,4,male,1,2,car,48,none,own,2,unskilled - resident,single,none,yes,none,good,good,30.033625807221814,YES
no checking account,36,critical account/ other credits existing (not at this bank),car (used),5711,>= 1000 DM,>= 7 years,4,male,1,2,real estate,38,none,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,8.327377262514531,YES
0 to < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,< 100 DM,unemployed,2,male,1,3,real estate,68,none,for free,3,unemployed/ unskilled - non-resident,single,"yes, registered under the customers name",yes,none,good,good,14.06792729953672,YES
0 to < 200 DM,36,all credits at this bank paid back duly,domestic appliances,3990,unknown/ no savings account,< 1 year,3,female,1,2,savings agreement/life insurance,29,bank,own,1,unemployed/ unskilled - non-resident,divorced/separated/married,none,yes,none,good,good,18.613067084779573,YES
0 to < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,< 100 DM,>= 7 years,4,male,1,3,savings agreement/life insurance,40,none,own,1,management/ self-employed/highly qualified employee,divorced/separated,"yes, registered under the customers name",yes,none,bad,bad,45.12491587568013,YES
no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,>= 1000 DM,>= 7 years,3,male,1,4,savings agreement/life insurance,23,none,rent,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,6.449360638321219,YES
< 0 DM,12,existing credits paid back duly till now,radio/television,1107,< 100 DM,1 to < 4 years,2,male,2,2,none,20,none,rent,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,19.989631992665878,YES
< 0 DM,42,existing credits paid back duly till now,radio/television,3965,< 100 DM,< 1 year,4,male,1,3,real estate,34,none,own,1,skilled employee/ official,single,none,yes,none,bad,bad,78.15406448329077,YES
no checking account,48,delay in paying off in the past,radio/television,12749,500 to < 1000 DM,4 to < 7 years,4,male,1,1,real estate,37,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.071733662978009,YES
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 to < 7 years,3,male,2,2,real estate,31,stores,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,9.73444451452585,YES
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 to < 1000 DM,1 to < 4 years,4,male,1,3,none,66,none,own,1,unskilled - resident,single,none,yes,none,bad,good,13.069988198183502,NO
no checking account,24,existing credits paid back duly till now,car (new),1469,100 to < 500 DM,>= 7 years,4,male,1,4,none,41,none,rent,1,unskilled - resident,married/widowed,none,yes,none,good,good,14.071658721791582,YES
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 to < 1000 DM,>= 7 years,3,male,1,4,car,53,none,own,1,skilled employee/ official,single,none,yes,none,good,good,7.59077664039861,YES
0 to < 200 DM,20,no credits taken/ all credits paid back duly,car (used),6148,100 to < 500 DM,>= 7 years,3,male,1,4,real estate,31,bank,own,2,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,16.188042192183502,YES
>= 200 DM,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,>= 7 years,2,male,1,3,real estate,37,none,own,1,management/ self-employed/highly qualified employee,single,none,yes,none,good,good,8.787013128250216,YES
0 to < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1 to < 4 years,1,female,1,4,car,48,none,own,1,unskilled - resident,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,15.036339900463028,YES
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,< 100 DM,4 to < 7 years,1,female,1,2,real estate,24,none,rent,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,8.146989556115768,YES
0 to < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 to < 500 DM,4 to < 7 years,2,male,1,3,real estate,38,bank,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,bad,39.24328529421866,NO
